date,kWh,annotation
2020-12-20,197,
2021-01-21,185,
2021-02-22,178,
2021-03-23,153,
2021-04-21,174,
2021-05-20,179,
2021-06-21,640,
2021-07-21,558,
2021-08-19,538,
2021-09-20,389,
2021-10-19,224,
2021-11-17,234,
2021-12-20,504,
2022-01-23,531,
2022-02-22,567,
2022-03-23,286,
2022-04-21,131,
2022-05-22,118,
2022-06-21,262,
2022-07-21,479,
2022-08-21,394,
2022-09-20,308,
2022-10-19,127,
2022-11-17,140,
2022-12-20,156,
2023-01-24,158,
2023-02-01,105.054,
2023-03-01,144.669,
2023-04-01,127.484,
2023-05-01,193.295,
2023-06-01,319.772328,
2023-07-01,333.391,
2023-08-01,350.686,
2023-09-01,173.403,
2023-10-01,134.43604,
2023-11-01,97.212,